"Year","ppr_prec","ppr_maxt","boreal_prec","boreal_maxt"
1960,47122421.0373874,25.5033665903784,366946945.745291,18.1235022140248
1961,26801236.6509607,28.3564104714752,354094241.491266,18.8946933804176
1962,63931710.2415466,24.3852424559236,334222276.289978,18.8289593064548
1963,72387821.8390484,25.3694243059169,418977254.035056,18.1757613361466
1964,58912146.5730524,24.593049281432,391537698.940776,17.886320752746
1965,66938373.7102146,24.2310787961778,410767880.469543,18.4607969355387
1966,66443919.340189,24.0550971464205,389545414.560203,18.8379037305074
1967,29013508.4292177,25.5604878803974,360949998.496668,18.4147058462797
1968,65212444.3271594,23.2068115630063,353432163.828637,17.980325336877
1969,54205921.5147089,24.5167876957435,343413176.713972,18.9198679831504
1970,57797325.7411504,26.4806907979772,380132081.506688,18.5642345888696
1971,54557248.860837,25.3202753960908,354094241.491266,18.8946933804176
1972,49973271.8711605,24.6212513341097,334222276.289978,18.8289593064548
1973,56635426.5510633,25.3520755583555,418977254.035056,18.1757613361466
1974,51174280.7101631,24.619543317824,391537698.940776,17.886320752746
1975,64675019.2027025,24.0511353910153,410767880.469543,18.4607969355387
1976,59309332.2300024,24.9357634471375,389545414.560203,18.8379037305074
1977,47692374.100914,23.8704386786138,360949998.496668,18.4147058462797
1978,55816216.4294834,24.6107466387478,353432163.828637,17.980325336877
1979,41459637.9783416,25.2668613941045,343413176.713972,18.9198679831504
1980,63649231.3605175,24.1503836553298,408696469.441401,18.3561150248444
1981,60370067.9781284,25.1752581020067,374358189.076284,18.9059165557652
1982,55619063.2098551,23.9941092057635,374246763.806671,18.198568639147
1983,57336949.3624868,26.2181709238597,388710067.372446,19.0040914667218
1984,40053213.0922416,26.4832879791455,398580255.683611,18.8579192574483
1985,49361950.3499951,23.756163171947,374340472.323648,17.4812687999851
1986,56364214.0617113,24.6890596263585,385151426.065087,18.2624330424708
1987,63761901.5915451,24.4988132970225,373919007.384888,18.4897576196391
1988,46624654.5498378,27.4685475691455,410709891.291469,19.0048741994576
1989,55199878.2010307,25.6936218209893,355336771.094315,20.1257894265792
1990,62039981.5204277,24.9692843732996,367703670.636835,19.3926928637624
1991,68639803.6316309,25.5929202063768,388495937.633088,19.112482430631
1992,55961414.2897148,22.6988462223692,317835319.941058,18.2052935708971
1993,96356767.6224499,21.5479462500301,384881171.867629,18.3150810705603
1994,58690903.8617787,24.3632192949687,339995995.793392,19.8813458464827
1995,67474492.9119797,24.6289875092684,393181772.176108,18.6458892587742
1996,50214762.7495151,25.3633778506548,375473181.05951,18.6959821695867
1997,53830174.4799709,25.4791404189542,417441336.744059,19.4198466087475
1998,65539143.5287275,25.2993142584949,387838446.891965,19.7171554652543
1999,66608481.3993597,23.8548253697934,383024415.508656,19.0016896856298
2000,64881826.8015065,24.5133888528439,432403005.768917,17.950905883472
2001,52585583.1511648,25.9387401369696,390933488.644285,19.1316950167873
2002,75446370.1578474,25.0326905270248,403705549.360807,18.7728131045952
2003,39678252.2403119,26.4583885051994,376626164.784465,19.4560046799307
2004,61009347.3412333,22.5516694433831,299609862.521424,19.5758105368767
2005,83677535.0826373,23.8747957748385,441271613.440576,18.5228582544821
2006,43220612.1475003,26.6381183430783,379570938.545628,19.4855146172761
2007,50699401.9208661,25.7894439121752,369802957.771832,19.2895157959025
2008,64576898.1786289,24.7166572249074,403032535.802983,18.5607254563829
2009,55188187.411356,23.5014826159067,373224878.560523,18.5838310591524
2010,72070775.708643,23.8531145213157,425135038.602983,19.1677181106038
2011,65004642.4294176,24.712397126422,467671983.79054,18.7142075072333
2012,54222217.1790361,26.1025864040368,403572623.83899,19.8582186222787
2013,58922832.799633,24.6182925141172,364935277.274476,20.1558304750161
2014,75091332.2572489,23.9140384844003,436385165.382989,19.3511072379391
2015,57428317.1667681,25.7888184674088,424894454.23561,19.1731350627397
2016,69523493.9566708,24.9696907694902,464637077.272326,19.6458111346451
2017,36825663.1991839,26.1832267590097,362926163.933111,19.8424841697577
2018,48879756.7608528,25.8972278626177,420738695.010821,19.1126418100371
