"Year","Ponds"
1955,7738484.68
1956,5342268.56
1957,3859293.15
1958,3853368.08
1959,2350774.06
1960,4420755.25
1961,2361855.32
1962,3147534.32
1963,3384204.73
1964,4349735.59
1965,5669202.3
1966,5655575.72
1967,6073739
1968,2860955
1969,5121438
1970,6466002
1971,5386199.36158
1972,5617471
1973,3850635
1974,8230886
1975,7230945
1976,5990336
1977,3049055
1978,5212447
1979,6381127
1980,2902263
1981,2125828
1982,4642822
1983,5164859
1984,4239269
1985,5610016
1986,5759497
1987,3871497
1988,2900806
1989,2982652
1990,3508489
1991,3199979
1992,3608877.375172
1993,3611725.027873
1994,5984769.220613
1995,6335393.906061
1996,7482243.348634
1997,7458215.889116
1998,4586928.55694
1999,6704284.563248
2000,3946943.657977
2001,4640444.523434
2002,2720025.120306
2003,5190094.89245162
2004,3919596.43779544
2005,5381247.31207
2006,6093933.20869906
2007,7002734.17322667
2008,4431379.17625
2009,6434009
2010,6665036
2011,8132227
2012,5543969
2013,6891702
2014,7181192
2015,6307725
2016,5012457.16
2017,6095987.84
